S,C_0,C_5,C_10,C_25
109.65,10.89221995061186,10.892228011824812,10.92657334903582,12.354753531803013
109.7,10.942219950611857,10.94222736341112,10.975727442737849,12.395567937461891
109.75,10.992219950611855,10.99222676532439,11.0249004889818,12.436430717718878
109.8,11.042219950611852,11.042226213813535,11.074092114748865,12.477341691283698
109.85,11.092219950611849,11.092225705394227,11.123301953015144,12.51830067698998
109.9,11.14221995061186,11.142225236831067,11.17252964268873,12.559307493799778
109.95,11.192219950611857,11.192224805120532,11.221774828546742,12.600361960807987
110,11.242219950611855,11.242224407475518,11.271037161172245,12.641463897246894
110.05,11.292219950611852,11.292224041310348,11.320316296890937,12.682613122490508
110.1,11.342219950611849,11.342223704227052,11.369611897707827,12.723809456058945
110.15,11.39221995061186,11.392223394002414,11.418923631243885,12.765052717622893
110.2,11.442219950611857,11.442223108575874,11.468251170672403,12.806342727007703
110.25,11.492219950611855,11.492222846038288,11.517594194655615,12.847679304197982
110.3,11.542219950611852,11.542222604621244,11.566952387281162,12.88906226934155
110.35,11.592219950611849,11.592222382687297,11.616325437998569,12.930491442753933
110.4,11.64221995061186,11.642222178720715,11.66571304155589,12.971966644922333
110.45,11.692219950611857,11.692221991318789,11.715114897936104,13.013487696509884
110.5,11.742219950611855,11.742221819183953,11.764530712294004,13.05505441835983
110.55,11.792219950611852,11.792221661116102,11.813960194892914,13.096666631499502
110.6,11.842219950611849,11.842221516005807,11.863403061041552,13.138324157144496
110.65,11.89221995061186,11.892221382827586,11.912859031031118,13.180026816702664
110.7,11.942219950611857,11.942221260633985,11.962327830072411,13.221774431778002
110.75,11.992219950611855,11.992221148549831,12.011809188233372,13.263566824174873
110.8,12.042219950611852,12.04222104576698,12.061302840376456,13.305403815901641
110.85,12.092219950611849,12.09222095153946,12.110808526096477,13.347285229174787
110.9,12.14221995061186,12.142220865178885,12.160325989658674,13.389210886422745
110.95,12.192219950611857,12.192220786050072,12.209854979936807,13.43118061028963
111,12.242219950611855,12.242220713567292,12.259395250351787,13.473194223639169
111.05,12.292219950611852,12.292220647190533,12.30894655881032,13.515251549558371
111.1,12.342219950611849,12.34222058642196,12.358508667644088,13.557352411361379
111.15,12.39221995061186,12.392220530802945,12.408081343548957,13.599496632593073
111.2,12.442219950611857,12.442220479910958,12.457664357524749,13.641684037032789
111.25,12.492219950611855,12.49222043335692,12.507257484815156,13.683914448698062
111.3,12.542219950611852,12.542220390782646,12.556860504848089,13.726187691847983
111.35,12.592219950611849,12.5922203518585,12.606473201176428,13.768503590987024
111.4,12.64221995061186,12.642220316281183,12.656095361418934,13.810861970868558
111.45,12.692219950611857,12.692220283771704,12.705726777201718,13.853262656498188
111.5,12.742219950611855,12.742220254073587,12.755367244100043,13.89570547313744
111.55,12.792219950611852,12.79222022695103,12.80501656158053,13.938190246307087
111.6,12.842219950611849,12.842220202187335,12.854674532943733,13.980716801790606
111.65,12.89221995061186,12.892220179583475,12.904340965267139,14.023284965637643
111.7,12.942219950611857,12.94222015895663,12.954015669348578,14.06589456416718
111.75,12.992219950611855,12.992220140138912,13.003698459650067,14.108545423971066
111.8,13.042219950611852,13.042220122976289,13.05338915424231,14.151237371917148
111.85,13.092219950611849,13.092220107327364,13.10308757474914,14.193970235152648
111.9,13.14221995061186,13.142220093062491,13.152793546292912,14.236743841107284
111.95,13.192219950611857,13.192220080062697,13.20250689744016,14.279558017496512
112,13.242219950611855,13.242220068218998,13.252227460147623,14.32241259232471
112.05000000000001,13.292219950611866,13.292220057431436,13.301955069709024,14.365307393888344
112.1,13.342219950611849,13.342220047608421,13.351689564701942,14.408242250778898
112.15,13.39221995061186,13.392220038666167,13.401430786935606,14.45121699188617
112.2,13.442219950611857,13.442220030527835,13.451178581398807,14.494231446401116
112.25,13.492219950611855,13.492220023123082,13.500932796208488,14.53728544381896
112.30000000000001,13.542219950611866,13.542220016387645,13.550693282558925,14.580378813942133
112.35,13.592219950611849,13.59222001026258,13.600459894671005,14.62351138688328
112.4,13.64221995061186,13.642220004694096,13.650232489742777,14.666682993068008
112.45,13.692219950611857,13.69221999963294,13.700010927899498,14.709893463237918
112.5,13.742219950611855,13.742219995034091,13.749795072145147,14.753142628453404
112.55000000000001,13.792219950611866,13.792219990856452,13.79958478831388,14.796430320096505
112.6,13.842219950611849,13.842219987062407,13.849379945022136,14.839756369873513
112.65,13.89221995061186,13.892219983617679,13.899180413621451,14.88312060981805
112.7,13.942219950611857,13.942219980490918,13.948986068151498,14.926522872293447
112.75,13.992219950611855,13.992219977653505,13.998796785293976,14.969962989995693
112.80000000000001,14.042219950611866,14.042219975079362,14.048612444326679,15.01344079595593
112.85,14.092219950611849,14.09221997274463,14.098432927078363,15.056956123543173
112.9,14.14221995061186,14.14221997062765,14.148258117884154,15.100508806466905
112.95,14.192219950611857,14.1922199687086,14.198087903541193,15.14409867877957
113,14.242219950611855,14.242219966969387,14.247922173265238,15.187725574879195
113.05000000000001,14.292219950611866,14.292219965393627,14.29776081864739,15.231389329511913
113.1,14.342219950611849,14.342219963966286,14.347603733611606,15.275089777774255
113.15,14.39221995061186,14.392219962673764,14.397450814372732,15.318826755115879
113.2,14.442219950611857,14.442219961503596,14.447301959394963,15.362600097341769
113.25,14.492219950611855,14.492219960444473,14.497157069350834,15.406409640614697
