t,s,trend
0.744,95.64552141555168,107.52795186321606
0.746,95.47703410281572,107.54708096749917
0.748,96.2491443540182,107.56617637431974
0.75,98.59447757377767,107.58542620319054
0.752,96.2885495827111,107.6051450987053
0.754,96.93544588439691,107.62440280862184
0.756,97.35972961993687,107.64378989779871
0.758,99.45862245259896,107.6632618437227
0.76,99.42885759404048,107.68315356821321
0.762,98.81323823279065,107.70303933973202
0.764,96.8058636094549,107.72280198737857
0.766,95.92919948656822,107.74216316010046
0.768,95.32696873326641,107.76134899999778
0.77,99.35434194189234,107.78041439374444
0.772,103.72244403256492,107.80028526213282
0.774,103.43388000749188,107.82102975093933
0.776,101.52348823407725,107.84171652694083
0.778,97.96073126129865,107.86202122458765
0.78,98.88222102566196,107.88161337083991
0.782,96.97292663236607,107.90138981504505
0.784,100.95552991054606,107.92078440037152
0.786,99.37634224548123,107.94097550635362
0.788,99.59373119775724,107.96085077480272
0.79,106.40198867692007,107.98076952104228
0.792,104.31259569205444,108.00204991877766
0.794,104.90737766738967,108.02291243791606
0.796,102.85111645434424,108.04389391344954
0.798,103.51131957396137,108.06446413674041
0.8,101.91502691158624,108.08516640065521
0.802,102.07634212320482,108.10554940603753
0.804,101.55467610631338,108.12596467446217
0.806,99.42543195302062,108.14627560968343
0.808,99.46540194623437,108.16616069607403
0.81,101.24964202527306,108.18605377646328
0.812,104.1568996069632,108.20630370486833
0.8140000000000001,101.620074395507,108.22713508478972
0.8160000000000001,101.18664688152509,108.24745909966883
0.8180000000000001,103.30553740687246,108.26769642904513
0.8200000000000001,101.26713162384843,108.2883575365265
0.8220000000000001,96.70695163499403,108.30861096285128
0.8240000000000001,95.10723163055226,108.32795235317828
0.8260000000000001,93.4806596853761,108.34697379950438
0.8280000000000001,93.57876780269112,108.36566993144146
0.8300000000000001,92.921633053810325,108.384385685002
0.8320000000000001,93.3250178158028,108.40297001161277
0.8340000000000001,92.63855376441224,108.42163501517592
0.836,93.27705881699866,108.4401627259288
0.838,92.68500037667371,108.4588181376922
0.84,94.67672520697627,108.47735513776755
0.842,93.44690145884604,108.49629048280894
0.844,93.9514776305422,108.51497986310072
0.846,92.48314096467735,108.53377015862682
0.848,92.8457611651507,108.55226678681976
0.85,92.7850564448735,108.57083593905278
0.852,90.00766369421856,108.58939295034176
0.854,89.79344517757504,108.60739448308061
0.856,91.70715036694067,108.62535317211612
0.858,92.84333339835482,108.64369460218951
0.86,93.09981231976454,108.66226326886918
0.862,91.1327245443169,108.68088323133314
0.864,93.05706474616554,108.69910977624201
0.866,93.20751971005328,108.71772118919124
0.868,92.47289769268222,108.73636269313324
0.87,95.20764434431749,108.75485727267179
0.872,93.91597309017175,108.77389880154065
0.874,94.44440876608866,108.79268199615869
0.876,96.62875834322557,108.8115708779119
0.878,97.68905496928366,108.83089662958055
0.88,97.17206678591721,108.8504344405744
0.882,96.46417891212849,108.86986885393159
0.884,97.09629492955182,108.88916168971402
0.886,98.00758535248436,108.90858094869992
0.888,98.05980960543332,108.92818246577042
0.89,100.39217514184149,108.9477944276915
0.892,100.29402787489313,108.96787286271987
0.894,99.05767560341299,108.98793166829485
0.896,100.02962773828398,109.00774320341553
0.898,96.10979877004532,109.02774912896318
0.9,96.80292721240508,109.04697108871719
0.902,97.68285689304423,109.06633167415967
0.904,97.30944647234142,109.08586824553828
0.906,95.3842701101574,109.10533013483274
0.908,94.72937332270415,109.12440698885477
0.91,97.37461604619195,109.14335286351931
0.912,96.09897046816972,109.16282778672856
0.914,92.10981240977047,109.18204758082219
0.916,93.46657964735869,109.20046954330414
0.918,92.64709106647891,109.2191628592336
0.92,91.81891717018291,109.2376922774469
0.922,89.8410373447584,109.25605606088094
0.924,89.82275100912433,109.27402426834989
0.926,90.96746561726917,109.29198881855172
0.928,90.02966400646275,109.31018231167516
0.93,89.0705348385621,109.32818824447645
0.932,90.83567204050598,109.34600235144416
0.934,90.45165627027349,109.36416948585226
0.936,90.2110178874441,109.38225981710632
0.9380000000000001,89.21921435218576,109.40030202068381
0.9400000000000001,90.67415351724001,109.41814586355424
0.9420000000000001,89.07967787861874,109.43628069425769
0.9440000000000001,90.45077916282868,109.45409662983342
0.9460000000000001,91.7725219901275,109.47218678566598
0.9480000000000001,91.02322689509178,109.490541290064
0.9500000000000001,92.4228914154929,109.50874593544302
0.9520000000000001,94.07281340753815,109.52723051372611
0.9540000000000001,95.06029655347126,109.54604507640762
0.9560000000000001,98.52253283043939,109.56505713571832
0.9580000000000001,95.0837377090369,109.5847616422844
0.9600000000000001,93.12132925242439,109.60377838982622
0.962,90.84694095847887,109.62240265567671
0.964,91.1376102752949,109.6405720438684
0.966,93.73928890707583,109.65879956592346
0.968,96.57162058967272,109.67754742370488
0.97,97.43447999322626,109.69686174782281
0.972,98.9854600868019,109.71634864382145
0.974,98.7487264077485,109.7361457358388
0.976,99.59690112927446,109.75589548112035
0.978,100.2871380131549,109.7758148613462
0.98,98.94189614098407,109.79587228894884
0.982,98.44257406085492,109.81566066817705
0.984,98.2248078776621,109.83534918298922
0.986,100.69357762224645,109.85499414456476
0.988,98.84582856029324,109.87513286008921
0.99,95.12701353908834,109.89490202580127
0.992,96.45340550131611,109.91392742850908
0.994,95.0644836933531,109.93321810960934
0.996,94.34186834081623,109.95223100634801
0.998,95.88755188839501,109.97109938001618
1,94.59781617210035,109.99027689039386
