date,fx_rate,ccy
2020-01-14,60.9474,USD
2020-01-11,61.2632,USD
2020-01-10,61.234,USD
2020-01-01,61.9057,USD
2019-12-31,61.9057,USD
2019-12-28,62.0315,USD
2019-12-27,61.7676,USD
2019-12-26,61.7164,USD
2019-12-25,62.1673,USD
2019-12-24,62.2499,USD
2019-12-21,62.4071,USD
2019-12-20,62.5283,USD
2019-12-19,62.5831,USD
2019-12-18,62.5326,USD
2019-12-17,62.7686,USD
2019-12-14,62.5544,USD
2019-12-13,63.2257,USD
2019-12-12,63.5653,USD
2019-12-11,63.5788,USD
2019-12-10,63.7244,USD
2019-12-07,63.7185,USD
2019-12-06,63.8135,USD
2019-12-05,64.1948,USD
2019-12-04,64.1401,USD
2019-12-03,64.4097,USD
2019-11-30,64.0817,USD
2019-11-29,64.1005,USD
2019-11-28,63.9722,USD
2019-11-27,64.0239,USD
2019-11-26,63.7637,USD
2019-11-23,63.7101,USD
2019-11-22,63.843,USD
2019-11-21,64.0213,USD
2019-11-20,63.773,USD
2019-11-19,63.7542,USD
2019-11-16,63.8881,USD
2019-11-15,64.2101,USD
2019-11-14,64.2009,USD
2019-11-13,63.853,USD
2019-11-12,63.9121,USD
2019-11-09,63.7295,USD
2019-11-08,63.7298,USD
2019-11-07,63.588,USD
2019-11-06,63.248,USD
2019-11-02,64.0316,USD
2019-11-01,63.7748,USD
2019-10-31,63.8734,USD
2019-10-30,63.832,USD
2019-10-29,63.87,USD
2019-10-26,63.9966,USD
2019-10-25,63.86,USD
2019-10-24,63.7997,USD
2019-10-23,63.6336,USD
2019-10-22,63.7606,USD
2019-10-19,63.9542,USD
2019-10-18,64.0144,USD
2019-10-17,64.3455,USD
2019-10-16,64.2548,USD
2019-10-15,64.3652,USD
2019-10-12,64.2237,USD
2019-10-11,64.7416,USD
2019-10-10,65.0976,USD
2019-10-09,64.8672,USD
2019-10-08,64.8259,USD
2019-10-05,65.03,USD
2019-10-04,65.1312,USD
2019-10-03,65.4399,USD
2019-10-02,65.067,USD
2019-10-01,64.6407,USD
2019-09-28,64.4156,USD
2019-09-27,64.2888,USD
2019-09-26,64.1873,USD
2019-09-25,63.706,USD
2019-09-24,63.9453,USD
2019-09-21,63.8487,USD
2019-09-20,64.2199,USD
2019-09-19,64.429,USD
2019-09-18,64.1213,USD
2019-09-17,63.8272,USD
2019-09-14,64.4711,USD
2019-09-13,65.1909,USD
2019-09-12,65.4321,USD
2019-09-11,65.4393,USD
2019-09-10,65.5698,USD
2019-09-07,65.9981,USD
2019-09-06,66.0528,USD
2019-09-05,66.5002,USD
2019-09-04,66.9072,USD
2019-09-03,66.6235,USD
2019-08-31,66.4897,USD
2019-08-30,66.7471,USD
2019-08-29,66.4127,USD
2019-08-28,66.2608,USD
2019-08-27,65.9735,USD
2019-08-24,65.6046,USD
2019-08-23,65.6196,USD
2019-08-22,66.263,USD
2019-08-21,66.784,USD
2019-08-20,66.6082,USD
2019-08-17,65.9961,USD
2019-08-16,65.8907,USD
2019-08-15,65.2032,USD
2019-08-14,65.6017,USD
2019-08-13,65.4287,USD
2019-08-10,65.2543,USD
2019-08-09,65.1299,USD
2019-08-08,65.0932,USD
2019-08-07,65.203,USD
2019-08-06,65.0546,USD
2019-08-03,64.6423,USD
2019-08-02,63.834,USD
2019-08-01,63.4172,USD
2019-07-31,63.3791,USD
2019-07-30,63.521,USD
2019-07-27,63.1271,USD
2019-07-26,63.1572,USD
2019-07-25,63.1162,USD
2019-07-24,63.129,USD
2019-07-23,62.9776,USD
2019-07-20,62.8666,USD
2019-07-19,62.8286,USD
2019-07-18,62.9451,USD
2019-07-17,62.8129,USD
2019-07-16,62.828,USD
2019-07-13,63.0204,USD
2019-07-12,62.9944,USD
2019-07-11,63.7988,USD
2019-07-10,63.766,USD
2019-07-09,63.8699,USD
2019-07-06,63.5841,USD
2019-07-05,63.4013,USD
2019-07-04,63.4951,USD
2019-07-03,63.2265,USD
2019-07-02,63.0541,USD
2019-06-29,63.0756,USD
2019-06-28,63.0452,USD
2019-06-27,62.8083,USD
2019-06-26,62.5229,USD
2019-06-25,62.9095,USD
2019-06-22,63.1295,USD
2019-06-21,63.3877,USD
2019-06-20,63.9794,USD
2019-06-19,64.3352,USD
2019-06-18,64.3187,USD
2019-06-15,64.4326,USD
2019-06-14,64.6314,USD
2019-06-12,64.5158,USD
2019-06-11,64.7919,USD
2019-06-08,65.0395,USD
