month-01,cape_excess_yield
1951-06-01,0.1182065888
1951-07-01,0.1169269721
1951-08-01,0.1120895662
1951-09-01,0.1101696347
1951-10-01,0.1099770143
1951-11-01,0.1131357504
1951-12-01,0.1107106707
1952-01-01,0.1067699964
1952-02-01,0.1062306802
1952-03-01,0.1047945238
1952-04-01,0.105203894
1952-05-01,0.1040653797
1952-06-01,0.1027081621
1952-07-01,0.1013275881
1952-08-01,0.1005068318
1952-09-01,0.1019276474
1952-10-01,0.1025510984
1952-11-01,0.0995385524
1952-12-01,0.0959377827
1953-01-01,0.0949636274
1953-02-01,0.0957663076
1953-03-01,0.0947610264
1953-04-01,0.0972681975
1953-05-01,0.0950102952
1953-06-01,0.0984672659
1953-07-01,0.0999444923
1953-08-01,0.100990824
1953-09-01,0.1056003716
1953-10-01,0.1060975756
1953-11-01,0.1036091438
1953-12-01,0.1037026908
1954-01-01,0.1030434523
1954-02-01,0.1016947273
1954-03-01,0.1013431368
1954-04-01,0.0981135056
1954-05-01,0.0953500617
1954-06-01,0.0943975892
1954-07-01,0.0920353331
1954-08-01,0.0903588414
1954-09-01,0.0882111828
1954-10-01,0.0864592435
1954-11-01,0.0837055245
1954-12-01,0.0796147287
1955-01-01,0.0778157762
1955-02-01,0.0757154013
1955-03-01,0.0762347508
1955-04-01,0.0738128588
1955-05-01,0.0737363048
1955-06-01,0.0694109087
1955-07-01,0.0652181135
1955-08-01,0.0652071483
1955-09-01,0.0637842342
1955-10-01,0.0678840898
1955-11-01,0.0646079042
1955-12-01,0.0626482581
1956-01-01,0.065123509
1956-02-01,0.0663755869
1956-03-01,0.0609101413
1956-04-01,0.0585325703
1956-05-01,0.0617547006
1956-06-01,0.0632518187
1956-07-01,0.0549508159
1956-08-01,0.0508377939
1956-09-01,0.0522046394
1956-10-01,0.0523255433
1956-11-01,0.0493870935
1956-12-01,0.047538714
1957-01-01,0.0505073585
1957-02-01,0.05537812
1957-03-01,0.0529331754
1957-04-01,0.051730032
1957-05-01,0.0491239821
1957-06-01,0.04654778
1957-07-01,0.044554786
1957-08-01,0.0469158413
1957-09-01,0.0477281812
1957-10-01,0.0519273771
1957-11-01,0.0564705711
1957-12-01,0.0605895591
1958-01-01,0.060595435
1958-02-01,0.0618778872
